,Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
0,Chennai Super Kings,Kolkata Knight Riders,192,165,    20,"        
                    20",3,9,"[' Dubai International Stadium', ' Dubai\n            ']"
1,Kolkata Knight Riders,Delhi Capitals,136,135,    19.5," 
                    20",7,5,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
2,Kolkata Knight Riders,Royal Challengers Bangalore,139,138,    19.4,"              
                    20",6,7,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
3,Chennai Super Kings,Delhi Capitals,173,172,    19.4," 
                    20",6,5,"[' Dubai International Stadium', ' Dubai\n            ']"
4,Mumbai Indians,Sunrisers Hyderabad,235,193,    20,"      
                    20",9,8,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
5,Royal Challengers Bangalore,Delhi Capitals,166,164,    20," 
                    20",3,5,"[' Dubai International Stadium', ' Dubai\n            ']"
6,Kolkata Knight Riders,Rajasthan Royals,171,85,    20,     16.1,4,2,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
7,Punjab Kings,Chennai Super Kings,139,134,    13,"      
                    20",4,6,"[' Dubai International Stadium', ' Dubai\n            ']"
8,Sunrisers Hyderabad,Royal Challengers Bangalore,141,137,    20,"              
                    20",7,6,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
9,Mumbai Indians,Rajasthan Royals,94,90,   8.2,"  
                    20",2,9,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
10,Delhi Capitals,Chennai Super Kings,139,136,    19.4,"      
                    20",7,5,"[' Dubai International Stadium', ' Dubai\n            ']"
11,Kolkata Knight Riders,Sunrisers Hyderabad,119,115,    19.4,"      
                    20",4,8,"[' Dubai International Stadium', ' Dubai\n            ']"
12,Royal Challengers Bangalore,Punjab Kings,164,158,    20,                    20,7,6,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
13,Rajasthan Royals,Chennai Super Kings,190,189,    17.3,"      
                    20",3,4,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
14,Delhi Capitals,Mumbai Indians,132,129,    19.1," 
                    20",6,8,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
15,Punjab Kings,Kolkata Knight Riders,168,165,    19.3,"        
                    20",5,7,"[' Dubai International Stadium', ' Dubai\n            ']"
